t, pose_x, pose_y, pose_theta, headingRadians, raw_gyro, poseErrorX, poseErrorY, poseErrorTheta
5.674718, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.720773, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.721126, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.735323, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.75521, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.774459, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.794222, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.814452, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.835205, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.854565, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.875553, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.895827, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.915707, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.934142, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.955035, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.974064, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.995069, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.014173, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.034324, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.055258, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.074211, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.09495, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.114121, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.134123, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.154737, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.175215, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.195233, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.214995, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.234194, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.255193, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.274826, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.294336, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.315093, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.336479, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.35498, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.374264, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.394973, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.414708, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.4349, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.454799, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.474551, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.494511, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.51402, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.534716, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.555627, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.574564, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.594364, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.61448, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.63517, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.655108, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.675016, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.695079, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.714976, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.734833, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.754806, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.775974, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.794933, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.815818, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.834827, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.854587, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.874854, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.895919, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.914914, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.935914, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.954599, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.974286, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.994967, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.014144, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.034787, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.054775, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.074763, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.09469, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.114935, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.134855, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.154752, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.174731, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.194921, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.214623, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.234291, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.255268, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.274486, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.294954, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.314856, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.334689, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.354604, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
7.3747, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
