t, pose_x, pose_y, pose_theta, headingRadians, raw_gyro, poseErrorX, poseErrorY, poseErrorTheta
2.949887, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.970859, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.990654, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.01028, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.034605, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.050217, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.070242, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.090451, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.11051, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.130293, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.150237, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.171319, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.190361, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.210191, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.231387, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.251729, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.270071, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.290681, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.310458, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.330781, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.351555, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.369896, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.390297, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.410297, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.430912, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.450317, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.469847, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.489934, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.510893, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.530443, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.550276, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.570666, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.589879, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.610263, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.630674, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.650741, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.669914, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.691613, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.711344, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.730491, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
